Samples	Result	ImpGenos	Experimental
NA20527	NN	0/0	0/1
NA20528	NN	0/0	0/0
NA20529	NN	0/0	0/0
NA20530	NN	0/0	0/0
NA20531	NN	0/0	0/0
NA20534	NN	0/0	0/1
NA20535	NI	0/1	0/1
NA20538	NN	0/0	0/0
NA20539	NN	0/0	0/1
NA20540	NN	0/0	0/1
NA20541	NN	0/0	0/0
NA20542	NI	0/1	0/1
NA20543	NN	0/0	0/0
NA20544	NN	0/0	0/0
NA20581	NN	0/0	0/1
NA20582	NN	0/0	0/0
NA20585	NN	0/0	0/0
NA20586	NN	0/0	0/1
NA20588	II	1/1	1/1
NA20589	NN	0/0	0/0
NA20752	NI	0/1	0/1
NA20753	NN	0/0	0/0
NA20754	NN	0/0	0/0
NA20755	NN	0/0	0/0
NA20756	NN	0/0	0/0
NA20757	NN	0/0	0/0
NA20758	NI	0/1	0/1
NA20759	NI	0/1	0/1
NA20760	NI	0/1	0/1
NA20761	NI	0/1	0/1
NA20765	NN	0/0	0/0
NA20766	NN	0/0	0/0
NA20768	NN	0/0	0/0
NA20769	NI	0/1	0/1
NA20770	NI	0/1	0/1
NA20771	NI	0/1	0/1
NA20772	NN	0/0	0/1
NA20773	NN	0/0	0/1
NA20774	II	1/1	1/1
NA20775	NN	0/0	0/1
NA20778	NN	0/0	0/1
NA20783	II	1/1	1/1
NA20785	NI	0/1	0/1
NA20786	NN	0/0	0/0
NA20787	NN	0/0	0/0
NA20790	NN	0/0	0/0
NA20792	NN	0/0	0/1
NA20795	II	1/1	1/1
NA20796	NI	0/1	0/1
NA20797	II	1/1	1/1
NA20798	NN	0/0	0/0
NA20799	NN	0/0	0/0
NA20800	NN	0/0	0/0
NA20801	NN	0/0	0/0
NA20802	NN	0/0	0/1
NA20803	NI	0/1	0/1
NA20804	II	1/1	1/1
NA20805	NI	0/1	0/1
NA20806	NI	0/1	0/1
NA20807	NN	0/0	0/0
NA20808	II	1/1	1/1
NA20809	NN	0/0	0/0
NA20810	NI	0/1	0/1
NA20811	NI	0/1	0/1
NA20812	NI	0/1	0/1
NA20813	II	1/1	1/1
NA20815	NI	0/1	0/1
NA20818	NN	0/0	0/1
NA20819	NI	0/1	0/1
NA20826	NN	0/0	0/0
NA20828	NI	0/1	0/1
