Samples	Result	ImpGenos	Experimental
NA20769	II	1/1	1/1
NA20770	NI	0/1	0/1
NA20771	NN	0/0	0/0
NA20772	II	1/1	1/1
NA20775	NI	0/1	0/1
NA20778	II	1/1	1/1
NA20783	II	1/1	1/1
NA20786	NI	0/1	0/1
NA20790	II	1/1	1/1
NA20796	NN	0/0	0/0
NA20797	II	1/1	1/1
NA20799	NN	0/0	0/0
NA20800	NI	0/1	0/1
NA20801	II	1/1	1/1
NA20802	II	1/1	0/1
NA20803	II	1/1	1/1
NA20804	II	1/1	1/1
NA20807	II	1/1	1/1
NA20808	II	1/1	1/1
NA20813	II	1/1	1/1
NA20818	II	1/1	1/1
NA20819	NI	0/1	0/1
NA20826	NI	0/1	0/1
NA20828	NN	0/0	0/0
NA18526	NI	0/1	0/1
NA18532	II	1/1	1/1
NA18537	NN	0/0	0/0
NA18547	NN	0/0	0/0
NA18550	NI	0/1	0/1
NA18555	NN	0/0	0/0
NA18562	NI	0/1	0/1
NA18563	NI	0/1	0/1
NA18566	II	1/1	1/1
NA18572	NI	0/1	1/1
NA18582	II	1/1	1/1
NA18603	NI	0/1	0/1
NA18605	NN	0/0	0/0
NA18606	II	1/1	1/1
NA18621	NI	0/1	0/1
NA18622	NN	0/0	0/0
NA18628	II	1/1	1/1
NA18632	II	1/1	1/1
NA18636	II	1/1	1/1
NA18647	NN	0/0	0/0
NA18942	NI	0/1	0/1
NA18943	NN	0/0	1/1
NA18945	NN	0/0	0/0
NA18947	NN	0/0	0/1
NA18949	NN	0/0	0/0
NA18951	NN	0/0	0/0
NA18952	NI	0/1	0/1
NA18953	NN	0/0	0/0
NA18956	NN	0/0	0/1
NA18964	NN	0/0	0/0
NA18965	NN	0/0	0/0
NA18970	NN	0/0	0/0
NA18973	NN	0/0	0/0
NA18974	NN	0/0	0/0
NA18977	NN	0/0	0/0
NA18987	NN	0/0	0/0
NA18990	NN	0/0	0/0
NA18994	NN	0/0	0/0
NA18995	NN	0/0	0/0
NA19000	NN	0/0	0/0
NA19003	NI	0/1	0/1
NA19010	NI	0/1	0/1
